Frame,X_Center,Y_Center,Force_Intensity
415,240,180,18389.081
416,240,180,18390.385
417,240,180,18392.287
418,240,180,18390.496
419,240,180,18389.442
420,240,180,18381.392
421,240,180,18412.586
422,240,180,18415.107
423,240,180,18416.208
424,240,180,18413.604
425,240,180,18431.792
426,240,180,18439.853
427,240,180,18439.611
428,240,180,18416.68
429,240,180,18446.644
430,240,180,18455.578
431,240,180,18459.46
432,240,180,18444.748
433,240,180,18449.187
434,240,180,18451.403
435,240,180,18453.503
436,240,180,18383.717
437,240,180,18396.085
438,240,180,18357.914
439,240,180,18360.339
440,240,180,18305.103
441,240,180,18334.144
442,240,180,18347.935
443,240,180,18341.95
444,240,180,18285.193
445,240,180,18296.88
446,240,180,18261.772
447,240,180,18267.348
448,240,180,18162.22
449,240,180,18182.781
450,240,180,18113.93
451,240,180,18106.288
452,243,181,17973.12
453,243,181,17980.672
454,243,181,17937.367
455,243,181,17939.625
456,243,181,17900.728
457,243,181,17912.619
458,243,182,17898.167
459,243,182,17908.419
460,244,182,17876.212
461,244,181,17884.525
462,244,181,17884.907
463,244,181,17879.933
464,244,181,17879.735
465,244,181,17892.463
466,244,181,17909.079
467,244,181,17913.891
468,244,181,17910.818
469,244,181,17924.798
470,244,181,17934.467
471,244,181,17934.914
472,244,181,17928.851
473,244,181,17939.271
474,244,181,17928.899
475,244,181,17929.475
476,244,181,17918.547
477,244,181,17904.25
478,244,181,17903.337
479,244,181,17904.673
480,244,182,17815.539
481,244,182,17812.368
482,244,182,17816.221
483,243,182,17829.178
484,243,182,17818.104
485,243,182,17810.638
486,243,182,17781.53
487,243,182,17792.733
488,243,182,17791.115
489,243,182,17792.479
490,243,182,17796.996
491,243,182,17795.208
492,243,182,17789.572
493,243,182,17786.65
494,243,182,17788.495
495,243,182,17802.984
496,243,182,17806.501
497,243,182,17812.194
498,243,182,17805.245
499,243,182,17814.756
500,243,182,17805.619
501,243,182,17812.115
502,243,182,17808.118
503,243,182,17816.51
504,243,182,17826.889
505,243,182,17855.775
506,243,181,17893.224
507,243,182,17895.978
508,243,182,17897.67
509,243,181,17940.197
510,243,181,17963.533
511,243,181,17970.579
512,243,181,17957.203
513,243,182,17977.288
514,242,181,18016.954
515,242,181,18019.001
516,242,181,18030.04
517,242,181,18030.173
518,242,181,18059.231
519,242,181,18063.328
520,242,181,18066.361
521,242,181,18067.305
522,242,181,18096.527
523,242,181,18102.924
524,242,181,18113.194
525,242,181,18106.834
526,241,181,18115.002
527,241,181,18111.21
528,241,181,18115.955
529,242,181,18120.387
530,241,181,18158.54
531,241,181,18158.633
532,241,181,18163.409
533,241,181,18156.075
534,241,181,18178.884
535,241,181,18186.257
536,241,181,18188.148
537,241,181,18196.748
