Frame,X_Center,Y_Center,Force_Intensity
461,240,175,17884.525
462,240,174,17884.907
463,240,174,17879.933
464,240,174,17879.735
465,240,174,17892.463
466,240,174,17909.079
467,240,174,17913.891
468,240,174,17910.818
469,240,174,17924.798
470,240,174,17934.467
471,240,174,17934.914
472,240,174,17928.851
473,240,174,17939.271
474,240,174,17928.899
475,240,174,17929.475
476,240,174,17918.547
477,240,174,17904.25
478,240,174,17903.337
479,240,174,17904.673
480,241,174,17815.539
481,241,174,17812.368
482,241,174,17816.221
483,241,174,17829.178
484,241,174,17818.104
485,241,174,17810.638
486,241,174,17781.53
487,241,174,17792.733
488,241,174,17791.115
489,241,174,17792.479
490,241,174,17796.996
491,241,174,17795.208
492,241,174,17789.572
493,241,174,17786.65
494,241,174,17788.495
495,241,174,17802.984
496,241,174,17806.501
497,241,174,17812.194
498,241,174,17805.245
499,241,174,17814.756
500,241,174,17805.619
501,241,174,17812.115
502,241,174,17808.118
503,241,174,17816.51
504,241,174,17826.889
505,241,174,17855.775
506,241,174,17893.224
507,241,174,17895.978
508,241,174,17897.67
509,241,174,17940.197
510,241,174,17963.533
511,241,174,17970.579
512,241,174,17957.203
513,241,174,17977.288
514,241,174,18016.954
515,240,174,18019.001
516,240,174,18030.04
517,240,174,18030.173
518,240,174,18059.231
519,240,174,18063.328
520,240,174,18066.361
521,240,174,18067.305
522,240,175,18096.527
523,240,175,18102.924
524,240,174,18113.194
525,240,174,18106.834
526,240,175,18115.002
527,240,175,18111.21
528,240,175,18115.955
529,240,175,18120.387
530,240,175,18158.54
531,240,175,18158.633
532,240,175,18163.409
533,240,175,18156.075
534,241,174,18178.884
535,241,174,18186.257
536,241,175,18188.148
537,241,175,18196.748
538,241,175,18197.8
539,241,175,18198.798
540,241,175,18198.227
541,241,175,18225.986
542,240,175,18305.404
543,240,175,18307.175
544,240,175,18304.166
545,240,175,18322.39
546,239,175,18401.231
547,239,175,18395.425
548,238,176,18432.713
549,238,176,18436.934
550,238,177,18492.336
551,238,177,18489.57
552,238,177,18532.024
553,239,177,18525.022
554,238,177,18576.25
555,238,177,18577.164
556,238,178,18552.006
557,238,178,18554.354
558,239,178,18589.34
559,239,178,18603.397
560,240,178,18577.789
561,240,178,18621.939
562,240,178,18628.66
563,240,178,18635.034
564,240,178,18609.718
565,240,178,18641.1
566,242,178,18661.873
567,242,178,18674.227
568,242,178,18674.269
569,243,178,18701.02
570,243,178,18688.727
571,243,178,18704.609
572,243,178,18704.544
573,244,178,18734.644
574,245,178,18843.377
575,245,178,18857.545
576,245,178,18863.227
577,245,178,18872.565
578,247,178,19000.528
579,247,178,19023.538
580,247,178,19071.627
581,247,178,19098.887
582,247,178,19163.651
583,247,178,19167.954
584,247,178,19208.923
585,247,179,19231.507
586,246,179,19269.943
587,246,179,19284.072
588,246,179,19318.947
589,246,179,19352.573
590,246,179,19361.283
591,246,179,19376.051
592,246,179,19369.25
593,246,179,19374.649
594,246,179,19290.804
595,245,179,19309.545
596,244,178,18764.562
597,244,177,18784.653
